,tsne1,tsne2,corpus
0,-4.146573,24.502665,"I decided to meet someone here for coffee, and when I arrived, I needed to go to the bathroom.  But "
1,5.147617,7.7239027,Is there a no star option? Perhaps the worst food I've every had (and I've been to some real lousy p
2,1.7501904,25.048786,This was definitely at the lowest end of donut places I would recommend in Orlando. Yeast Donuts wer
3,16.7562,-8.968791,"""It's not disgusting, it's just expensive.""

I went to Ka-Prow on a Sunday night for a birthday dinn"
4,-8.546117,-9.667339,"REALLY wanted to love this place. The view on the patio is lovely, the food was pretty good. Service"
5,-6.01666,-9.104334,"I'm sure as a place to come drink, this place is fine. It looks like they have a lot of beer options"
6,-25.199282,-6.722701,"Great space and atmosphere. Chilly (less-than-friendly) service. I was excited to try the food, so I"
7,-3.7484853,-1.3740256,"Amazing cocktail, 0 service. Wasn't greeted for 15 minutes. I decided to walk up to the bar to order"
8,-4.886214,1.4495105,Horrible service. First time we attempted to eat here we waited 15 minutes without being greeted or 
9,6.9388747,10.4927225,"This is one of those places with mediocre food, that stays open late to cater to the crowds looking "
10,-1.9007227,9.354107,"First time ever having Qdoba, I just ate here 5 hours ago and now have food poisoning. I puked up en"
11,2.8730738,11.055527,"ATL Taco really disappointed. We started with the queso. Texturally it was very watery, which made i"
12,25.98985,8.377746,"Someone forgot, no milk in the cappuccino. Espresso and foam. Period. Nice place if you get what you"
13,5.878665,-4.316774,"I grew up grocery shopping at Stop & Shop, and I am a very loyal customer. The Allston branch is the"
14,-6.9189095,-23.120083,Longwood Galleria could really need some serious upgrading.  It has a McDonalds if you want some pin
15,-2.066136,11.850031,Well I decided to try out something new so I gave this place a shot. The menu looked really good as 
16,4.710921,8.660698,"The food makes me uncomfortable, I don't provide ice water, I drink beer without lemon, expensive, b"
17,-0.69476384,2.7124078,Waited 1.5 hours to be seated after being told it would be 15 minutes.  Hostess is unqualified. Afte
18,-15.484491,-1.787792,The only good thing this place really has going is the beautiful patio out back which is clearly onl
19,13.808429,1.2570188,"My experience at Bridges was ok... The food was a bit pricey for what I received, and the menu didn'"
20,-5.524362,-7.4267,I have been frequently visited Atlanta in past ten years and every time I came here Chef Liu is the 
21,4.7140083,-15.293151,"They in theory do curbside pickup, though after 20 minutes you need to get in to the restaurant and "
22,-12.514618,-14.414189,"Meh? Am I being too harsh? Is their seafood OK, sure. But I've DEFINITELY experienced better - let's"
23,-2.1364465,-14.574845,"Came here to try what everyone was raving about the seafood noodle dish called ""Jjamppong"" I might s"
24,16.294445,12.239046,"Food is pretty good. 
The notable one star is how pushy they are at 930pm, zero refills on drinks an"
25,4.6525025,-9.306445,All I have to say is wow. I've been coming to this location since grand opening and this location ha
26,-3.1439075,-0.8408076,Went last night for the game and sat at the bar. This isnt the first time it was really busy and onl
27,11.532969,7.5694013,2.5 stars: We came here on Sunday at 2:30 pm so the brunch menu was the only offering. The brunch di
28,13.950408,-3.5757256,What a disappointment. I had been many years ago and absolutely loved it! But I guess Tony is restin
29,-13.938387,-8.782214,I came here with a friend on a Thursday afternoon around 1:00. The atmosphere was chaotic. The line 
30,-8.272672,6.9376884,Don't waste your time or money! I stopped in for a drink and decided maybe I'd get some food to go. 
31,7.881951,12.335602,I was rather disappointed. I ordered the French Dip because it is one of my favorite kind of sandwic
32,11.60711,-3.908724,"I actually found out about Saba through my friend. It's so close the Emory campus, yet I never knew "
33,15.588255,11.265348,"The pho is ok with horrible meat quality. The service is the worst. For example, they won't take ord"
34,12.201379,-4.3328776,"I haven't ordered basic spaghetti and meatballs at an Italian restaurant in quite sometime, for some"
35,-10.057273,-12.64617,"I feel a little bad here, but...hey - the truth hurts.

This place is barely even a restaurant and d"
